,date,utm_source,users
170,2020-01-25,google_ads,206
171,2020-01-25,instagram_ads,160
172,2020-01-25,referal,75
173,2020-01-25,vk_ads,175
174,2020-01-25,yandex-direct,197
175,2020-01-26,-,227
176,2020-01-26,facebook_ads,106
177,2020-01-26,google_ads,174
178,2020-01-26,instagram_ads,108
179,2020-01-26,referal,66
180,2020-01-26,vk_ads,143
181,2020-01-26,yandex-direct,176
182,2020-01-27,-,203
183,2020-01-27,facebook_ads,87
184,2020-01-27,google_ads,153
185,2020-01-27,instagram_ads,122
186,2020-01-27,referal,78
187,2020-01-27,vk_ads,145
188,2020-01-27,yandex-direct,158
189,2020-01-28,-,271
190,2020-01-28,facebook_ads,121
191,2020-01-28,google_ads,167
192,2020-01-28,instagram_ads,180
193,2020-01-28,referal,75
194,2020-01-28,vk_ads,214
195,2020-01-28,yandex-direct,225
196,2020-01-29,-,369
197,2020-01-29,facebook_ads,167
198,2020-01-29,google_ads,319
199,2020-01-29,instagram_ads,252
200,2020-01-29,referal,117
201,2020-01-29,vk_ads,273
202,2020-01-29,yandex-direct,343
203,2020-01-30,-,607
204,2020-01-30,facebook_ads,294
205,2020-01-30,google_ads,543
206,2020-01-30,instagram_ads,359
207,2020-01-30,referal,179
208,2020-01-30,vk_ads,388
209,2020-01-30,yandex-direct,458
210,2020-01-31,-,527
211,2020-01-31,facebook_ads,251
212,2020-01-31,google_ads,391
213,2020-01-31,instagram_ads,345
214,2020-01-31,referal,152
215,2020-01-31,vk_ads,365
216,2020-01-31,yandex-direct,419
217,2020-02-01,-,437
218,2020-02-01,facebook_ads,160
219,2020-02-01,google_ads,328
220,2020-02-01,instagram_ads,243
221,2020-02-01,referal,129
222,2020-02-01,vk_ads,276
223,2020-02-01,yandex-direct,364
224,2020-02-02,-,384
225,2020-02-02,facebook_ads,195
226,2020-02-02,google_ads,313
227,2020-02-02,instagram_ads,253
228,2020-02-02,referal,123
229,2020-02-02,vk_ads,262
230,2020-02-02,yandex-direct,335
231,2020-02-03,-,407
232,2020-02-03,facebook_ads,173
233,2020-02-03,google_ads,296
234,2020-02-03,instagram_ads,202
235,2020-02-03,referal,137
236,2020-02-03,vk_ads,280
237,2020-02-03,yandex-direct,331
238,2020-02-04,-,352
239,2020-02-04,facebook_ads,170
240,2020-02-04,google_ads,272
241,2020-02-04,instagram_ads,227
242,2020-02-04,referal,113
243,2020-02-04,vk_ads,261
244,2020-02-04,yandex-direct,320
245,2020-02-05,-,360
246,2020-02-05,facebook_ads,154
247,2020-02-05,google_ads,267
248,2020-02-05,instagram_ads,229
249,2020-02-05,referal,108
250,2020-02-05,vk_ads,242
251,2020-02-05,yandex-direct,288
252,2020-02-06,-,318
253,2020-02-06,facebook_ads,178
254,2020-02-06,google_ads,250
255,2020-02-06,instagram_ads,180
256,2020-02-06,referal,87
257,2020-02-06,vk_ads,214
258,2020-02-06,yandex-direct,250
259,2020-02-07,-,265
260,2020-02-07,facebook_ads,138
261,2020-02-07,google_ads,230
262,2020-02-07,instagram_ads,201
263,2020-02-07,referal,89
264,2020-02-07,vk_ads,181
265,2020-02-07,yandex-direct,256
266,2020-02-08,-,317
267,2020-02-08,facebook_ads,151
268,2020-02-08,google_ads,223
269,2020-02-08,instagram_ads,195
270,2020-02-08,referal,100
271,2020-02-08,vk_ads,205
272,2020-02-08,yandex-direct,261
273,2020-02-09,-,322
274,2020-02-09,facebook_ads,151
275,2020-02-09,google_ads,206
276,2020-02-09,instagram_ads,212
277,2020-02-09,referal,107
278,2020-02-09,vk_ads,214
279,2020-02-09,yandex-direct,277
280,2020-02-10,-,264
281,2020-02-10,facebook_ads,125
282,2020-02-10,google_ads,232
283,2020-02-10,instagram_ads,158
284,2020-02-10,referal,86
285,2020-02-10,vk_ads,207
286,2020-02-10,yandex-direct,251
287,2020-02-11,-,265
288,2020-02-11,facebook_ads,147
289,2020-02-11,google_ads,229
290,2020-02-11,instagram_ads,175
291,2020-02-11,referal,72
292,2020-02-11,vk_ads,194
293,2020-02-11,yandex-direct,221
294,2020-02-12,-,337
295,2020-02-12,facebook_ads,128
296,2020-02-12,google_ads,230
297,2020-02-12,instagram_ads,219
298,2020-02-12,referal,93
299,2020-02-12,vk_ads,210
300,2020-02-12,yandex-direct,268
301,2020-02-13,-,487
302,2020-02-13,facebook_ads,229
303,2020-02-13,google_ads,391
304,2020-02-13,instagram_ads,278
305,2020-02-13,referal,160
306,2020-02-13,vk_ads,334
307,2020-02-13,yandex-direct,416
308,2020-02-14,-,1152
309,2020-02-14,facebook_ads,504
310,2020-02-14,google_ads,886
311,2020-02-14,instagram_ads,675
312,2020-02-14,referal,301
313,2020-02-14,vk_ads,746
314,2020-02-14,yandex-direct,969
315,2020-02-15,-,621
316,2020-02-15,facebook_ads,263
317,2020-02-15,google_ads,470
318,2020-02-15,instagram_ads,348
319,2020-02-15,referal,162
320,2020-02-15,vk_ads,384
321,2020-02-15,yandex-direct,513
322,2020-02-16,-,360
323,2020-02-16,facebook_ads,156
324,2020-02-16,google_ads,265
325,2020-02-16,instagram_ads,218
326,2020-02-16,referal,100
327,2020-02-16,vk_ads,228
328,2020-02-16,yandex-direct,288
329,2020-02-17,-,347
330,2020-02-17,facebook_ads,106
331,2020-02-17,google_ads,234
332,2020-02-17,instagram_ads,165
333,2020-02-17,referal,86
334,2020-02-17,vk_ads,191
335,2020-02-17,yandex-direct,225
336,2020-02-18,-,271
337,2020-02-18,facebook_ads,123
338,2020-02-18,google_ads,203
339,2020-02-18,instagram_ads,164
340,2020-02-18,referal,73
341,2020-02-18,vk_ads,161
342,2020-02-18,yandex-direct,236
343,2020-02-19,-,318
344,2020-02-19,facebook_ads,166
345,2020-02-19,google_ads,253
346,2020-02-19,instagram_ads,188
347,2020-02-19,referal,90
348,2020-02-19,vk_ads,227
349,2020-02-19,yandex-direct,300
350,2020-02-20,-,228
351,2020-02-20,facebook_ads,87
352,2020-02-20,google_ads,174
353,2020-02-20,instagram_ads,121
354,2020-02-20,referal,52
355,2020-02-20,vk_ads,169
356,2020-02-20,yandex-direct,194
357,2020-02-21,-,680
358,2020-02-21,facebook_ads,327
359,2020-02-21,google_ads,511
360,2020-02-21,instagram_ads,405
361,2020-02-21,referal,187
362,2020-02-21,vk_ads,460
363,2020-02-21,yandex-direct,627
364,2020-02-22,-,494
365,2020-02-22,facebook_ads,251
366,2020-02-22,google_ads,394
367,2020-02-22,instagram_ads,308
368,2020-02-22,referal,115
369,2020-02-22,vk_ads,358
370,2020-02-22,yandex-direct,438
371,2020-02-23,-,268
372,2020-02-23,facebook_ads,148
373,2020-02-23,google_ads,190
374,2020-02-23,instagram_ads,175
375,2020-02-23,referal,69
376,2020-02-23,vk_ads,181
377,2020-02-23,yandex-direct,236
378,2020-02-24,-,185
379,2020-02-24,facebook_ads,87
380,2020-02-24,google_ads,157
381,2020-02-24,instagram_ads,122
382,2020-02-24,referal,74
383,2020-02-24,vk_ads,123
384,2020-02-24,yandex-direct,153
385,2020-02-25,-,138
386,2020-02-25,facebook_ads,73
387,2020-02-25,google_ads,139
388,2020-02-25,instagram_ads,109
389,2020-02-25,referal,51
390,2020-02-25,vk_ads,108
391,2020-02-25,yandex-direct,145
392,2020-02-26,-,152
393,2020-02-26,facebook_ads,76
394,2020-02-26,google_ads,112
395,2020-02-26,instagram_ads,105
396,2020-02-26,referal,33
397,2020-02-26,vk_ads,103
398,2020-02-26,yandex-direct,120
399,2020-02-27,-,129
400,2020-02-27,facebook_ads,60
401,2020-02-27,google_ads,109
402,2020-02-27,instagram_ads,93
403,2020-02-27,referal,43
404,2020-02-27,vk_ads,102
405,2020-02-27,yandex-direct,104
406,2020-02-28,-,155
407,2020-02-28,facebook_ads,67
408,2020-02-28,google_ads,93
409,2020-02-28,instagram_ads,76
410,2020-02-28,referal,40
411,2020-02-28,vk_ads,72
412,2020-02-28,yandex-direct,118
413,2020-02-29,-,161
414,2020-02-29,facebook_ads,79
415,2020-02-29,google_ads,125
416,2020-02-29,instagram_ads,110
417,2020-02-29,referal,57
418,2020-02-29,vk_ads,105
419,2020-02-29,yandex-direct,129
420,2020-03-01,-,194
421,2020-03-01,facebook_ads,72
422,2020-03-01,google_ads,117
423,2020-03-01,instagram_ads,90
424,2020-03-01,referal,52
425,2020-03-01,vk_ads,105
426,2020-03-01,yandex-direct,150
427,2020-03-02,-,117
428,2020-03-02,facebook_ads,53
429,2020-03-02,google_ads,95
430,2020-03-02,instagram_ads,73
431,2020-03-02,referal,37
432,2020-03-02,vk_ads,81
433,2020-03-02,yandex-direct,111
434,2020-03-03,-,126
435,2020-03-03,facebook_ads,55
436,2020-03-03,google_ads,99
437,2020-03-03,instagram_ads,66
438,2020-03-03,referal,32
439,2020-03-03,vk_ads,99
440,2020-03-03,yandex-direct,101
441,2020-03-04,-,137
442,2020-03-04,facebook_ads,62
443,2020-03-04,google_ads,93
444,2020-03-04,instagram_ads,75
445,2020-03-04,referal,39
446,2020-03-04,vk_ads,63
447,2020-03-04,yandex-direct,97
448,2020-03-05,-,100
449,2020-03-05,facebook_ads,45
450,2020-03-05,google_ads,88
451,2020-03-05,instagram_ads,55
452,2020-03-05,referal,40
453,2020-03-05,vk_ads,82
454,2020-03-05,yandex-direct,100
455,2020-03-06,-,1768
456,2020-03-06,facebook_ads,801
457,2020-03-06,google_ads,1283
458,2020-03-06,instagram_ads,1022
459,2020-03-06,referal,464
460,2020-03-06,vk_ads,1071
461,2020-03-06,yandex-direct,1425
462,2020-03-07,-,824
463,2020-03-07,facebook_ads,337
464,2020-03-07,google_ads,561
465,2020-03-07,instagram_ads,440
466,2020-03-07,referal,233
467,2020-03-07,vk_ads,520
468,2020-03-07,yandex-direct,693
469,2020-03-08,-,310
470,2020-03-08,facebook_ads,116
471,2020-03-08,google_ads,234
472,2020-03-08,instagram_ads,178
473,2020-03-08,referal,66
474,2020-03-08,vk_ads,180
475,2020-03-08,yandex-direct,254
476,2020-03-09,-,196
477,2020-03-09,facebook_ads,84
478,2020-03-09,google_ads,156
479,2020-03-09,instagram_ads,113
480,2020-03-09,referal,49
481,2020-03-09,vk_ads,129
482,2020-03-09,yandex-direct,156
483,2020-03-10,-,176
484,2020-03-10,facebook_ads,82
485,2020-03-10,google_ads,134
486,2020-03-10,instagram_ads,74
487,2020-03-10,referal,55
488,2020-03-10,vk_ads,106
489,2020-03-10,yandex-direct,135
490,2020-03-11,-,141
491,2020-03-11,facebook_ads,70
492,2020-03-11,google_ads,96
493,2020-03-11,instagram_ads,84
494,2020-03-11,referal,40
495,2020-03-11,vk_ads,104
496,2020-03-11,yandex-direct,138
497,2020-03-12,-,183
498,2020-03-12,facebook_ads,83
499,2020-03-12,google_ads,145
500,2020-03-12,instagram_ads,107
501,2020-03-12,referal,39
502,2020-03-12,vk_ads,121
503,2020-03-12,yandex-direct,195
504,2020-03-13,-,143
505,2020-03-13,facebook_ads,62
506,2020-03-13,google_ads,115
507,2020-03-13,instagram_ads,75
508,2020-03-13,referal,42
509,2020-03-13,vk_ads,86
510,2020-03-13,yandex-direct,95
511,2020-03-14,-,120
512,2020-03-14,facebook_ads,57
513,2020-03-14,google_ads,100
514,2020-03-14,instagram_ads,48
515,2020-03-14,referal,37
516,2020-03-14,vk_ads,83
517,2020-03-14,yandex-direct,102
518,2020-03-15,-,116
519,2020-03-15,facebook_ads,66
520,2020-03-15,google_ads,97
521,2020-03-15,instagram_ads,73
522,2020-03-15,referal,40
523,2020-03-15,vk_ads,95
524,2020-03-15,yandex-direct,104
525,2020-03-16,-,100
526,2020-03-16,facebook_ads,43
527,2020-03-16,google_ads,76
528,2020-03-16,instagram_ads,67
529,2020-03-16,referal,23
530,2020-03-16,vk_ads,62
531,2020-03-16,yandex-direct,78
532,2020-03-17,-,98
533,2020-03-17,facebook_ads,62
534,2020-03-17,google_ads,97
535,2020-03-17,instagram_ads,75
536,2020-03-17,referal,36
537,2020-03-17,vk_ads,62
538,2020-03-17,yandex-direct,90
539,2020-03-18,-,344
540,2020-03-18,facebook_ads,135
541,2020-03-18,google_ads,243
542,2020-03-18,instagram_ads,213
543,2020-03-18,referal,92
544,2020-03-18,vk_ads,192
545,2020-03-18,yandex-direct,261
546,2020-03-19,-,405
547,2020-03-19,facebook_ads,156
548,2020-03-19,google_ads,270
549,2020-03-19,instagram_ads,242
550,2020-03-19,referal,102
551,2020-03-19,vk_ads,223
552,2020-03-19,yandex-direct,324
553,2020-03-20,-,377
554,2020-03-20,facebook_ads,172
555,2020-03-20,google_ads,274
556,2020-03-20,instagram_ads,229
557,2020-03-20,referal,115
558,2020-03-20,vk_ads,238
559,2020-03-20,yandex-direct,318
560,2020-03-21,-,330
561,2020-03-21,facebook_ads,147
562,2020-03-21,google_ads,247
563,2020-03-21,instagram_ads,197
564,2020-03-21,referal,89
565,2020-03-21,vk_ads,226
566,2020-03-21,yandex-direct,270
567,2020-03-22,-,327
568,2020-03-22,facebook_ads,174
569,2020-03-22,google_ads,270
570,2020-03-22,instagram_ads,193
571,2020-03-22,referal,90
572,2020-03-22,vk_ads,227
573,2020-03-22,yandex-direct,267
574,2020-03-23,-,442
575,2020-03-23,facebook_ads,194
576,2020-03-23,google_ads,388
577,2020-03-23,instagram_ads,268
578,2020-03-23,referal,113
579,2020-03-23,vk_ads,287
580,2020-03-23,yandex-direct,348
581,2020-03-24,-,495
582,2020-03-24,facebook_ads,230
583,2020-03-24,google_ads,387
584,2020-03-24,instagram_ads,291
585,2020-03-24,referal,125
586,2020-03-24,vk_ads,327
587,2020-03-24,yandex-direct,419
588,2020-03-25,-,475
589,2020-03-25,facebook_ads,216
590,2020-03-25,google_ads,393
591,2020-03-25,instagram_ads,302
592,2020-03-25,referal,138
593,2020-03-25,vk_ads,332
594,2020-03-25,yandex-direct,386
595,2020-03-26,-,373
596,2020-03-26,facebook_ads,164
597,2020-03-26,google_ads,277
598,2020-03-26,instagram_ads,225
599,2020-03-26,referal,97
600,2020-03-26,vk_ads,256
601,2020-03-26,yandex-direct,333
602,2020-03-27,-,341
603,2020-03-27,facebook_ads,130
604,2020-03-27,google_ads,227
605,2020-03-27,instagram_ads,200
606,2020-03-27,referal,102
607,2020-03-27,vk_ads,209
608,2020-03-27,yandex-direct,261
609,2020-03-28,-,297
610,2020-03-28,facebook_ads,124
611,2020-03-28,google_ads,204
612,2020-03-28,instagram_ads,182
613,2020-03-28,referal,82
614,2020-03-28,vk_ads,211
615,2020-03-28,yandex-direct,238
616,2020-03-29,-,305
617,2020-03-29,facebook_ads,147
618,2020-03-29,google_ads,229
619,2020-03-29,instagram_ads,159
620,2020-03-29,referal,86
621,2020-03-29,vk_ads,185
622,2020-03-29,yandex-direct,248
623,2020-03-30,-,293
624,2020-03-30,facebook_ads,131
625,2020-03-30,google_ads,191
626,2020-03-30,instagram_ads,173
627,2020-03-30,referal,85
628,2020-03-30,vk_ads,168
629,2020-03-30,yandex-direct,228
630,2020-03-31,-,274
631,2020-03-31,facebook_ads,104
632,2020-03-31,google_ads,186
633,2020-03-31,instagram_ads,143
634,2020-03-31,referal,80
635,2020-03-31,vk_ads,182
636,2020-03-31,yandex-direct,211
