date_first_week,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2019-12-30,15705.0,7551.0,6792.0,6338.0,5794.0,5295.0,5452.0,5387.0,4853.0,4983.0,4541.0,4355.0,4498.0,2227.0
2020-01-06,31315.0,8228.0,6040.0,4958.0,4222.0,4540.0,4553.0,3507.0,4136.0,3246.0,2944.0,3047.0,1143.0,
2020-01-13,30505.0,5068.0,3861.0,3122.0,3610.0,3175.0,2303.0,2894.0,1983.0,1818.0,1923.0,661.0,,
2020-01-20,12319.0,1863.0,1443.0,1706.0,1543.0,1079.0,1388.0,918.0,791.0,873.0,278.0,,,
2020-01-27,13119.0,2037.0,1971.0,1669.0,1227.0,1397.0,1003.0,875.0,909.0,318.0,,,,
2020-02-03,10967.0,1993.0,1599.0,1126.0,1266.0,933.0,804.0,839.0,273.0,,,,,
2020-02-10,16015.0,2560.0,1487.0,2083.0,1227.0,1019.0,1031.0,350.0,,,,,,
2020-02-17,11974.0,1511.0,1606.0,995.0,845.0,884.0,281.0,,,,,,,
2020-02-24,5172.0,933.0,625.0,499.0,509.0,173.0,,,,,,,,
2020-03-02,15001.0,1044.0,780.0,796.0,237.0,,,,,,,,,
2020-03-09,4947.0,676.0,658.0,158.0,,,,,,,,,,
2020-03-16,8948.0,867.0,229.0,,,,,,,,,,,
2020-03-23,12448.0,477.0,,,,,,,,,,,,
2020-03-30,2449.0,,,,,,,,,,,,,
