,date,utm_source,users
171,2020-01-25,instagram_ads,130
172,2020-01-25,referal,57
173,2020-01-25,vk_ads,145
174,2020-01-25,yandex-direct,166
175,2020-01-26,-,185
176,2020-01-26,facebook_ads,81
177,2020-01-26,google_ads,142
178,2020-01-26,instagram_ads,89
179,2020-01-26,referal,41
180,2020-01-26,vk_ads,124
181,2020-01-26,yandex-direct,150
182,2020-01-27,-,159
183,2020-01-27,facebook_ads,64
184,2020-01-27,google_ads,127
185,2020-01-27,instagram_ads,93
186,2020-01-27,referal,60
187,2020-01-27,vk_ads,121
188,2020-01-27,yandex-direct,134
189,2020-01-28,-,217
190,2020-01-28,facebook_ads,85
191,2020-01-28,google_ads,139
192,2020-01-28,instagram_ads,145
193,2020-01-28,referal,57
194,2020-01-28,vk_ads,178
195,2020-01-28,yandex-direct,191
196,2020-01-29,-,285
197,2020-01-29,facebook_ads,119
198,2020-01-29,google_ads,259
199,2020-01-29,instagram_ads,207
200,2020-01-29,referal,88
201,2020-01-29,vk_ads,219
202,2020-01-29,yandex-direct,279
203,2020-01-30,-,476
204,2020-01-30,facebook_ads,217
205,2020-01-30,google_ads,458
206,2020-01-30,instagram_ads,301
207,2020-01-30,referal,142
208,2020-01-30,vk_ads,316
209,2020-01-30,yandex-direct,391
210,2020-01-31,-,413
211,2020-01-31,facebook_ads,186
212,2020-01-31,google_ads,338
213,2020-01-31,instagram_ads,267
214,2020-01-31,referal,113
215,2020-01-31,vk_ads,294
216,2020-01-31,yandex-direct,354
217,2020-02-01,-,348
218,2020-02-01,facebook_ads,125
219,2020-02-01,google_ads,265
220,2020-02-01,instagram_ads,203
221,2020-02-01,referal,99
222,2020-02-01,vk_ads,238
223,2020-02-01,yandex-direct,306
224,2020-02-02,-,292
225,2020-02-02,facebook_ads,147
226,2020-02-02,google_ads,248
227,2020-02-02,instagram_ads,211
228,2020-02-02,referal,99
229,2020-02-02,vk_ads,217
230,2020-02-02,yandex-direct,279
231,2020-02-03,-,319
232,2020-02-03,facebook_ads,118
233,2020-02-03,google_ads,249
234,2020-02-03,instagram_ads,161
235,2020-02-03,referal,111
236,2020-02-03,vk_ads,241
237,2020-02-03,yandex-direct,284
238,2020-02-04,-,261
239,2020-02-04,facebook_ads,127
240,2020-02-04,google_ads,229
241,2020-02-04,instagram_ads,173
242,2020-02-04,referal,89
243,2020-02-04,vk_ads,216
244,2020-02-04,yandex-direct,282
245,2020-02-05,-,270
246,2020-02-05,facebook_ads,114
247,2020-02-05,google_ads,216
248,2020-02-05,instagram_ads,185
249,2020-02-05,referal,89
250,2020-02-05,vk_ads,203
251,2020-02-05,yandex-direct,246
252,2020-02-06,-,238
253,2020-02-06,facebook_ads,121
254,2020-02-06,google_ads,213
255,2020-02-06,instagram_ads,148
256,2020-02-06,referal,64
257,2020-02-06,vk_ads,177
258,2020-02-06,yandex-direct,211
259,2020-02-07,-,212
260,2020-02-07,facebook_ads,100
261,2020-02-07,google_ads,188
262,2020-02-07,instagram_ads,155
263,2020-02-07,referal,68
264,2020-02-07,vk_ads,144
265,2020-02-07,yandex-direct,219
266,2020-02-08,-,257
267,2020-02-08,facebook_ads,114
268,2020-02-08,google_ads,177
269,2020-02-08,instagram_ads,160
270,2020-02-08,referal,75
271,2020-02-08,vk_ads,167
272,2020-02-08,yandex-direct,226
273,2020-02-09,-,258
274,2020-02-09,facebook_ads,103
275,2020-02-09,google_ads,174
276,2020-02-09,instagram_ads,161
277,2020-02-09,referal,85
278,2020-02-09,vk_ads,170
279,2020-02-09,yandex-direct,240
280,2020-02-10,-,205
281,2020-02-10,facebook_ads,97
282,2020-02-10,google_ads,189
283,2020-02-10,instagram_ads,131
284,2020-02-10,referal,68
285,2020-02-10,vk_ads,177
286,2020-02-10,yandex-direct,216
287,2020-02-11,-,223
288,2020-02-11,facebook_ads,117
289,2020-02-11,google_ads,193
290,2020-02-11,instagram_ads,139
291,2020-02-11,referal,56
292,2020-02-11,vk_ads,165
293,2020-02-11,yandex-direct,183
294,2020-02-12,-,263
295,2020-02-12,facebook_ads,99
296,2020-02-12,google_ads,192
297,2020-02-12,instagram_ads,177
298,2020-02-12,referal,61
299,2020-02-12,vk_ads,180
300,2020-02-12,yandex-direct,227
301,2020-02-13,-,389
302,2020-02-13,facebook_ads,156
303,2020-02-13,google_ads,333
304,2020-02-13,instagram_ads,223
305,2020-02-13,referal,118
306,2020-02-13,vk_ads,278
307,2020-02-13,yandex-direct,347
308,2020-02-14,-,889
309,2020-02-14,facebook_ads,364
310,2020-02-14,google_ads,725
311,2020-02-14,instagram_ads,561
312,2020-02-14,referal,232
313,2020-02-14,vk_ads,614
314,2020-02-14,yandex-direct,803
315,2020-02-15,-,472
316,2020-02-15,facebook_ads,197
317,2020-02-15,google_ads,397
318,2020-02-15,instagram_ads,275
319,2020-02-15,referal,125
320,2020-02-15,vk_ads,322
321,2020-02-15,yandex-direct,435
322,2020-02-16,-,281
323,2020-02-16,facebook_ads,126
324,2020-02-16,google_ads,222
325,2020-02-16,instagram_ads,176
326,2020-02-16,referal,79
327,2020-02-16,vk_ads,201
328,2020-02-16,yandex-direct,255
329,2020-02-17,-,275
330,2020-02-17,facebook_ads,73
331,2020-02-17,google_ads,197
332,2020-02-17,instagram_ads,141
333,2020-02-17,referal,60
334,2020-02-17,vk_ads,163
335,2020-02-17,yandex-direct,189
336,2020-02-18,-,217
337,2020-02-18,facebook_ads,92
338,2020-02-18,google_ads,178
339,2020-02-18,instagram_ads,136
340,2020-02-18,referal,59
341,2020-02-18,vk_ads,132
342,2020-02-18,yandex-direct,204
343,2020-02-19,-,240
344,2020-02-19,facebook_ads,110
345,2020-02-19,google_ads,214
346,2020-02-19,instagram_ads,154
347,2020-02-19,referal,71
348,2020-02-19,vk_ads,190
349,2020-02-19,yandex-direct,264
350,2020-02-20,-,178
351,2020-02-20,facebook_ads,52
352,2020-02-20,google_ads,147
353,2020-02-20,instagram_ads,98
354,2020-02-20,referal,42
355,2020-02-20,vk_ads,145
356,2020-02-20,yandex-direct,177
357,2020-02-21,-,529
358,2020-02-21,facebook_ads,240
359,2020-02-21,google_ads,429
360,2020-02-21,instagram_ads,330
361,2020-02-21,referal,140
362,2020-02-21,vk_ads,386
