date_first_week,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2019-12-30,100.0,48.080229226361034,43.247373447946515,40.35657433938236,36.89270932823941,33.715377268385865,34.715058898439985,34.30117796879974,30.90098694683222,31.7287488061127,28.914358484559056,27.73002228589621,28.640560331104744,14.180197389366445
2020-01-06,100.0,26.274948107935494,19.287881207089253,15.832668050455053,13.482356698068019,14.497844483474374,14.539358135079036,11.199105859811592,13.2077279259141,10.365639469902602,9.40124540954814,9.730161264569695,3.6500079833945396,
2020-01-13,100.0,16.61366989018194,12.65694148500246,10.234387805277823,11.834125553188002,10.408129814784461,7.549582035731847,9.486969349287001,6.500573676446484,5.959678741189969,6.3038846090804785,2.166857892148828,,
2020-01-20,100.0,15.12298076142544,11.713613117947885,13.848526666125498,12.525367318775874,8.758827826934004,11.26714830749249,7.451903563600942,6.420975728549395,7.086614173228346,2.2566766783018104,,,
2020-01-27,100.0,15.52709810198948,15.024010976446375,12.722006250476408,9.352847015778641,10.648677490662399,7.645399801814163,6.669715679548746,6.928881774525498,2.4239652412531445,,,,
2020-02-03,100.0,18.172699917935624,14.580103948208261,10.267165131758913,11.54372207531686,8.507340202425459,7.331084161575636,7.650223397465123,2.489286039937996,,,,,
2020-02-10,100.0,15.985014049328754,9.28504527005932,13.00655635341867,7.661567280674368,6.362784889166407,6.437714642522635,2.185451139556666,,,,,,
2020-02-17,100.0,12.619007850342408,13.412393519291799,8.309670953733088,7.056956739602472,7.3826624352764325,2.3467512944713547,,,,,,,
2020-02-24,100.0,18.039443155452435,12.08430007733952,9.648105181747873,9.841453982985305,3.3449342614075794,,,,,,,,
2020-03-02,100.0,6.959536030931271,5.199653356442904,5.306312912472502,1.5798946736884207,,,,,,,,,
2020-03-09,100.0,13.66484738225187,13.300990499292501,3.193854861532242,,,,,,,,,,
2020-03-16,100.0,9.689316048278945,2.559231113097899,,,,,,,,,,,
2020-03-23,100.0,3.8319408740359897,,,,,,,,,,,,
2020-03-30,100.0,,,,,,,,,,,,,
