date,install_group,date,device_id,install_group
2020-02-21,Установили в тот же день,2020-02-21,2576,Установили в тот же день
2020-02-22,Остальные,2020-02-22,8933,Остальные
2020-02-22,Установили в тот же день,2020-02-22,1901,Установили в тот же день
2020-02-23,Остальные,2020-02-23,7640,Остальные
2020-02-23,Установили в тот же день,2020-02-23,1016,Установили в тот же день
2020-02-24,Остальные,2020-02-24,7092,Остальные
2020-02-24,Установили в тот же день,2020-02-24,727,Установили в тот же день
2020-02-25,Остальные,2020-02-25,6594,Остальные
2020-02-25,Установили в тот же день,2020-02-25,593,Установили в тот же день
2020-02-26,Остальные,2020-02-26,6270,Остальные
2020-02-26,Установили в тот же день,2020-02-26,571,Установили в тот же день
2020-02-27,Остальные,2020-02-27,6220,Остальные
2020-02-27,Установили в тот же день,2020-02-27,532,Установили в тот же день
2020-02-28,Остальные,2020-02-28,6254,Остальные
2020-02-28,Установили в тот же день,2020-02-28,508,Установили в тот же день
2020-02-29,Остальные,2020-02-29,6464,Остальные
2020-02-29,Установили в тот же день,2020-02-29,618,Установили в тот же день
2020-03-01,Остальные,2020-03-01,6458,Остальные
2020-03-01,Установили в тот же день,2020-03-01,651,Установили в тот же день
2020-03-02,Остальные,2020-03-02,6015,Остальные
2020-03-02,Установили в тот же день,2020-03-02,453,Установили в тот же день
2020-03-03,Остальные,2020-03-03,5845,Остальные
2020-03-03,Установили в тот же день,2020-03-03,466,Установили в тот же день
2020-03-04,Остальные,2020-03-04,5681,Остальные
2020-03-04,Установили в тот же день,2020-03-04,452,Установили в тот же день
2020-03-05,Остальные,2020-03-05,5759,Остальные
2020-03-05,Установили в тот же день,2020-03-05,411,Установили в тот же день
2020-03-06,Остальные,2020-03-06,10616,Остальные
2020-03-06,Установили в тот же день,2020-03-06,6358,Установили в тот же день
2020-03-07,Остальные,2020-03-07,10606,Остальные
2020-03-07,Установили в тот же день,2020-03-07,2934,Установили в тот же день
2020-03-08,Остальные,2020-03-08,6937,Остальные
2020-03-08,Установили в тот же день,2020-03-08,1098,Установили в тот же день
2020-03-09,Остальные,2020-03-09,6754,Остальные
2020-03-09,Установили в тот же день,2020-03-09,703,Установили в тот же день
2020-03-10,Остальные,2020-03-10,6780,Остальные
2020-03-10,Установили в тот же день,2020-03-10,616,Установили в тот же день
2020-03-11,Остальные,2020-03-11,6457,Остальные
2020-03-11,Установили в тот же день,2020-03-11,549,Установили в тот же день
2020-03-12,Остальные,2020-03-12,6616,Остальные
2020-03-12,Установили в тот же день,2020-03-12,709,Установили в тот же день
2020-03-13,Остальные,2020-03-13,6025,Остальные
2020-03-13,Установили в тот же день,2020-03-13,499,Установили в тот же день
2020-03-14,Остальные,2020-03-14,6166,Остальные
