date,install_group_x,device_id_x,count_x,install_group_y,device_id_y,count_y,"Доля трафика от инсталлов, %"
2020-03-17,Остальные,6111,6111,Установили в тот же день,431,431,0.06588199327422807
2020-03-18,Остальные,6148,6148,Установили в тот же день,1171,1171,0.1599945347725099
2020-03-19,Остальные,6037,6037,Установили в тот же день,1406,1406,0.1889023243315867
2020-03-20,Остальные,5743,5743,Установили в тот же день,1408,1408,0.1968955390854426
2020-03-21,Остальные,5608,5608,Установили в тот же день,1235,1235,0.18047639924009937
2020-03-22,Остальные,5440,5440,Установили в тот же день,1261,1261,0.18818086852708552
2020-03-23,Остальные,7112,7112,Установили в тот же день,1692,1692,0.19218537028623353
2020-03-24,Остальные,7813,7813,Установили в тот же день,1850,1850,0.19145193004242989
2020-03-25,Остальные,7990,7990,Установили в тот же день,1824,1824,0.1858569390666395
2020-03-26,Остальные,7861,7861,Установили в тот же день,1395,1395,0.15071305099394988
2020-03-27,Остальные,6610,6610,Установили в тот же день,1199,1199,0.15354078627224996
2020-03-28,Остальные,5374,5374,Установили в тот же день,1091,1091,0.16875483372003094
2020-03-29,Остальные,4818,4818,Установили в тот же день,1117,1117,0.1882055602358888
2020-03-30,Остальные,4710,4710,Установили в тот же день,994,994,0.17426367461430575
2020-03-31,Остальные,4322,4322,Установили в тот же день,968,968,0.1829867674858223
